timestamp_minutes_from_start,rainfall_mm_15min,zone_id
0,1.14,Velachery-Pallikaranai-Medavakkam
15,1.53,Velachery-Pallikaranai-Medavakkam
30,2.78,Velachery-Pallikaranai-Medavakkam
45,3.72,Velachery-Pallikaranai-Medavakkam
60,6.24,Velachery-Pallikaranai-Medavakkam
75,8.18,Velachery-Pallikaranai-Medavakkam
90,11.39,Velachery-Pallikaranai-Medavakkam
105,13.59,Velachery-Pallikaranai-Medavakkam
120,17.92,Velachery-Pallikaranai-Medavakkam
135,21.53,Velachery-Pallikaranai-Medavakkam
150,18.72,Velachery-Pallikaranai-Medavakkam
165,15.01,Velachery-Pallikaranai-Medavakkam
180,11.53,Velachery-Pallikaranai-Medavakkam
195,8.7,Velachery-Pallikaranai-Medavakkam
210,7.15,Velachery-Pallikaranai-Medavakkam
225,5.04,Velachery-Pallikaranai-Medavakkam
240,3.72,Velachery-Pallikaranai-Medavakkam
255,3.09,Velachery-Pallikaranai-Medavakkam
270,2.31,Velachery-Pallikaranai-Medavakkam
285,1.51,Velachery-Pallikaranai-Medavakkam
300,1.31,Velachery-Pallikaranai-Medavakkam
315,1.2,Velachery-Pallikaranai-Medavakkam
330,0.84,Velachery-Pallikaranai-Medavakkam
345,0.16,Velachery-Pallikaranai-Medavakkam
