issued_at,valid_time,lead_minutes,zone_id,observed_mm_15min,forecast_mm_15min,source_type,confidence
2026-08-23T12:00:00+05:30,2026-08-23T12:00:00+05:30,0,west,8.0,8.0,synthetic_observed,0.95
2026-08-23T12:00:00+05:30,2026-08-23T12:15:00+05:30,15,west,7.0,7.5,synthetic_nowcast,0.90
2026-08-23T12:00:00+05:30,2026-08-23T12:30:00+05:30,30,west,,9.0,synthetic_nowcast,0.88
2026-08-23T12:00:00+05:30,2026-08-23T12:45:00+05:30,45,west,,10.5,synthetic_nowcast,0.85
2026-08-23T12:00:00+05:30,2026-08-23T13:00:00+05:30,60,west,,12.0,synthetic_nowcast,0.82
2026-08-23T12:00:00+05:30,2026-08-23T13:15:00+05:30,75,west,,13.0,synthetic_nowcast,0.78
2026-08-23T12:00:00+05:30,2026-08-23T13:30:00+05:30,90,west,,12.0,synthetic_nowcast,0.74
2026-08-23T12:00:00+05:30,2026-08-23T13:45:00+05:30,105,west,,10.0,synthetic_nowcast,0.70
2026-08-23T12:00:00+05:30,2026-08-23T14:00:00+05:30,120,west,,8.0,synthetic_nowcast,0.66
2026-08-23T12:00:00+05:30,2026-08-23T14:15:00+05:30,135,west,,6.0,synthetic_nowcast,0.62
2026-08-23T14:30:00+05:30,2026-08-23T14:30:00+05:30,150,west,,4.0,synthetic_nowcast,0.58
2026-08-23T14:30:00+05:30,2026-08-23T14:45:00+05:30,165,west,,3.0,synthetic_nowcast,0.54
2026-08-23T12:00:00+05:30,2026-08-23T12:00:00+05:30,0,east,6.0,6.0,synthetic_observed,0.95
2026-08-23T12:00:00+05:30,2026-08-23T12:15:00+05:30,15,east,5.0,5.5,synthetic_nowcast,0.90
2026-08-23T12:00:00+05:30,2026-08-23T12:30:00+05:30,30,east,,6.5,synthetic_nowcast,0.88
2026-08-23T12:00:00+05:30,2026-08-23T12:45:00+05:30,45,east,,7.0,synthetic_nowcast,0.85
2026-08-23T12:00:00+05:30,2026-08-23T13:00:00+05:30,60,east,,8.0,synthetic_nowcast,0.82
2026-08-23T12:00:00+05:30,2026-08-23T13:15:00+05:30,75,east,,8.5,synthetic_nowcast,0.78
2026-08-23T12:00:00+05:30,2026-08-23T13:30:00+05:30,90,east,,8.0,synthetic_nowcast,0.74
2026-08-23T12:00:00+05:30,2026-08-23T13:45:00+05:30,105,east,,7.0,synthetic_nowcast,0.70
2026-08-23T12:00:00+05:30,2026-08-23T14:00:00+05:30,120,east,,5.0,synthetic_nowcast,0.66
2026-08-23T12:00:00+05:30,2026-08-23T14:15:00+05:30,135,east,,4.0,synthetic_nowcast,0.62
2026-08-23T14:30:00+05:30,2026-08-23T14:30:00+05:30,150,east,,3.0,synthetic_nowcast,0.58
2026-08-23T14:30:00+05:30,2026-08-23T14:45:00+05:30,165,east,,2.0,synthetic_nowcast,0.54
