ward_no,zone_name,zone_no
174,ADYAR,XIII
,ST.THOMAS MOUNT,ST.THOMAS MOUNT
189,PERUNGUDI,XIV
193,SOZHINGANALLUR,XV
194,SOZHINGANALLUR,XV
195,SOZHINGANALLUR,XV
196,SOZHINGANALLUR,XV
197,SOZHINGANALLUR,XV
198,SOZHINGANALLUR,XV
191,PERUNGUDI,XIV
183,PERUNGUDI,XIV
185,PERUNGUDI,XIV
184,PERUNGUDI,XIV
186,PERUNGUDI,XIV
187,PERUNGUDI,XIV
169,PERUNGUDI,XIV
168,PERUNGUDI,XIV
190,PERUNGUDI,XIV
188,PERUNGUDI,XIV
179,ADYAR,XIII
180,ADYAR,XIII
172,ADYAR,XIII
177,ADYAR,XIII
178,ADYAR,XIII
160,ALANDUR,XII
161,ALANDUR,XII
165,ALANDUR,XII
167,ALANDUR,XII
166,ALANDUR,XII
164,ALANDUR,XII
162,ALANDUR,XII
163,ALANDUR,XII
